w_err,w_tfp,w_rp_pen,n_completed,n_failed,spearman_r,spearman_p,pearson_r,pearson_p,mean_crs,std_crs,mean_err,mean_rp,mean_tfp,convergence_rate,mean_iterations,mean_errors_fixed,mean_errors_introduced,mean_net_improvement
0.2,0.8,0.0,63,0,0.94955,0.0,0.883256,0.0,0.9459,0.1334,0.0794,0.0,1.0,0.9683,1.08,0.05,0.06,-0.02
0.2,0.8,0.2,63,0,0.833458,0.0,0.826224,0.0,0.9432,0.1401,0.0794,0.0,1.0,0.9683,1.08,0.02,0.1,-0.08
0.2,0.8,0.4,63,0,0.487753,5e-05,0.487753,5e-05,0.9968,0.0252,0.0635,0.0,1.0,1.0,1.06,0.0,0.0,0.0
0.2,0.8,0.6,63,0,0.900791,0.0,0.911813,0.0,0.9517,0.1329,0.0476,0.0,1.0,0.9683,1.05,0.05,0.03,0.02
0.2,0.8,0.8,63,0,0.825447,0.0,0.900234,0.0,0.9441,0.1383,0.127,0.0,1.0,0.9524,1.13,0.19,0.02,0.17
0.4,0.6,0.0,63,0,0.774021,0.0,0.667891,0.0,0.9479,0.1234,0.1111,0.0159,0.9921,0.9365,1.13,0.13,0.06,0.06
0.4,0.6,0.2,63,0,0.816102,0.0,0.726477,0.0,0.9299,0.1425,0.0635,0.0,1.0,0.9841,1.06,0.03,0.13,-0.1
0.4,0.6,0.4,63,0,0.794948,0.0,0.687352,0.0,0.9695,0.106,0.0794,0.0,1.0,0.9365,1.08,0.06,0.02,0.05
0.4,0.6,0.6,63,0,0.625443,0.0,0.686297,0.0,0.9659,0.1132,0.0476,0.0,1.0,0.9524,1.05,0.03,0.03,0.0
0.4,0.6,0.8,63,0,0.803448,0.0,0.871861,0.0,0.9448,0.1214,0.0952,0.0,1.0,0.9524,1.1,0.11,0.0,0.11
0.6,0.4,0.0,63,0,0.914642,0.0,0.916097,0.0,0.9454,0.1407,0.0635,0.0,1.0,0.9524,1.06,0.06,0.03,0.03
0.6,0.4,0.2,63,0,0.917118,0.0,0.912937,0.0,0.935,0.1587,0.0159,0.0,1.0,0.9365,1.02,0.02,0.06,-0.05
0.6,0.4,0.4,63,0,0.745677,0.0,0.642431,0.0,0.9568,0.1213,0.127,0.0,1.0,0.9524,1.13,0.08,0.05,0.03
0.6,0.4,0.6,63,0,0.726623,0.0,0.850314,0.0,0.9506,0.1347,0.0476,0.0,1.0,0.9365,1.06,0.02,0.03,-0.02
0.6,0.4,0.8,63,0,0.786768,0.0,0.84941,0.0,0.9596,0.123,0.1111,0.0,1.0,0.9683,1.11,0.14,0.05,0.1
0.8,0.2,0.0,63,0,0.83889,0.0,0.764682,0.0,0.9629,0.1009,0.0476,0.0,1.0,1.0,1.05,0.03,0.08,-0.05
0.8,0.2,0.2,63,0,0.766454,0.0,0.848399,0.0,0.9613,0.1267,0.0476,0.0,1.0,0.9683,1.05,0.03,0.02,0.02
0.8,0.2,0.4,63,0,0.808683,0.0,0.878375,0.0,0.9556,0.1295,0.0317,0.0,1.0,0.9524,1.03,0.02,0.03,-0.02
0.8,0.2,0.6,63,0,0.855955,0.0,0.735137,0.0,0.9562,0.1124,0.0794,0.0,1.0,1.0,1.1,0.08,0.08,0.0
0.8,0.2,0.8,63,0,0.756128,0.0,0.768584,0.0,0.9451,0.146,0.0794,0.0,1.0,0.9365,1.08,0.03,0.05,-0.02
